img_name,label,xmin,ymin,xmax,ymax
000012-16347456122a06.jpg,0,111,71,165,125
000043-157305604379c0.jpg,0,48,128,93,173
000055-16299072552135.jpg,0,37,169,61,193
000107-1504454467f108.jpg,0,51,181,118,248
000135-1519056095a828.jpg,0,133,31,196,94
000153-1504972913bfa0.jpg,0,7,47,112,152
000207-1634745727a455.jpg,0,170,124,253,207
000232-1513094552a338.jpg,0,32,97,128,193
000251-15046273714581.jpg,0,113,122,231,240
000333-146954901370e8.jpg,0,149,63,174,88
000357-15190562379c44.jpg,0,104,147,179,222
000502-1507651502d9e3.jpg,0,148,94,227,173
000528-1512921928cf40.jpg,0,95,16,129,50
000535-1587657935016c.jpg,0,66,76,86,96
000549-1469549149cf76.jpg,0,141,120,250,229
000603-15005667633c84.jpg,0,182,42,246,106
000653-1571674013a6f4.jpg,0,171,97,251,177
000809-1504627689bf73.jpg,0,138,59,178,99
000809-150497328989e2.jpg,0,31,51,82,102
000852-1497024532302c.jpg,0,112,23,215,126
000934-1645200574f69c.jpg,0,37,13,143,119
001017-156692221763a4.jpg,0,96,61,123,88
001203-1506269523973d.jpg,0,189,59,246,116
001220-15669223403f8b.jpg,0,11,99,27,115
001246-15012583669211.jpg,0,94,63,217,186
001314-16618759946186.jpg,0,31,11,99,79
001341-15059240211eb6.jpg,0,51,133,126,208
001345-150497362525b0.jpg,0,36,154,56,174
001422-15046280620489.jpg,0,92,31,145,84
001502-1505664902e805.jpg,0,20,51,90,121
001531-1648311331f68a.jpg,0,104,29,197,122
001551-15046281515b48.jpg,0,81,82,184,185
001846-16425227266655.jpg,0,128,60,180,112
001855-1507652335b21a.jpg,0,209,159,223,173
002047-15975948479335.jpg,0,69,122,144,197
002106-15029004667e15.jpg,0,41,0,149,108
002133-15026412933036.jpg,0,171,81,252,162
002143-1648830103e280.jpg,0,32,132,63,163
002234-15054061547465.jpg,0,0,19,117,136
002321-150557900134ae.jpg,0,212,96,230,114
002402-16352654429dcc.jpg,0,42,66,117,141
002456-15773774962cff.jpg,0,109,7,158,56
002734-16575568540728.jpg,0,1,50,96,145
002738-15054064585e09.jpg,0,101,154,135,188
002739-1577377659b456.jpg,0,93,51,138,96
002837-1659889717b3f6.jpg,0,231,59,246,74
002845-157841452520eb.jpg,0,79,142,105,168
002942-1505060982cc1a.jpg,0,21,20,131,130
002947-1652286587d326.jpg,0,132,161,168,197
003018-16451154181ca0.jpg,0,91,106,146,161
003121-150540668164a6.jpg,0,149,4,205,60
003252-14678227722ddb.jpg,0,138,170,166,198
003405-16547924458678.jpg,0,188,47,239,98
003431-16264532710e32.jpg,0,18,21,69,72
003433-15055796731dd8.jpg,0,76,148,119,191
003810-1505407090274c.jpg,0,66,150,120,204
003823-1505061503d952.jpg,0,122,24,148,50
004253-1658248973fefd.jpg,0,36,154,84,202
004312-1614616992eae2.jpg,0,168,153,227,212
004442-1505407482391e.jpg,0,175,63,242,130
004744-1652978864ec5e.jpg,0,171,79,188,96
005045-16561758456bcf.jpg,0,43,101,63,121
005239-16561759591a95.jpg,0,201,148,214,161
005346-1570294426c666.jpg,0,188,112,249,173
005608-1584550568e79c.jpg,0,183,58,245,120
010624-1652979984946b.jpg,0,14,231,34,251
011122-164390828235a1.jpg,0,103,60,202,159
011530-16488333306425.jpg,0,131,106,201,176
011919-1642958359c39f.jpg,0,110,74,196,160
080404-1503965044f072.jpg,0,77,53,131,107
083729-150396704933fd.jpg,0,103,112,230,239
083815-1507941495e94a.jpg,0,162,164,175,177
083913-15272087538da6.jpg,0,75,131,91,147
084052-15052632524179.jpg,0,20,33,124,137
084123-15079416839444.jpg,0,20,153,58,191
084422-1507941862dc37.jpg,0,229,169,243,183
084727-1507942047c8ac.jpg,0,10,0,120,110
085700-15577090205d17.jpg,0,154,130,252,228
090008-1521162008e23c.jpg,0,196,31,253,88
091633-15052653930a36.jpg,0,65,122,96,153
091803-15386158831d4e.jpg,0,171,28,216,73
091930-15104495703e92.jpg,0,41,77,70,106
092320-1507857800765f.jpg,0,238,197,254,213
